time,site,measurement_name,certified_value,measured_value,changed,comment
2011-10-27,WFMS,NO,4.09,,,
2011-11-22,WFMS,NO,4.09,,,
2012-04-03,WFMS,NO,4,,TRUE,
2012-06-15,WFMS,NO,4,,,
2013-06-26,WFMS,NO,4,4.6,,
2014-01-16,WFMS,NO,4,4.02,,
2015-05-11,WFMS,NO,4,3.64,,
2016-06-17,WFMS,NO,4,4.27,,
2016-07-14,WFMS,NO,4,3.94,,
2017-01-20,WFMS,NO,4,3.87,,
2017-10-02,WFMS,NO,4,3.9,,
2018-04-04,WFMS,NO,4,3.79,,
2019-03-14,WFMS,NO,4,3.84,,
2019-08-06,WFMS,NO,4,3.99,,
2019-08-19,WFMS,NO,4,4.04,,
2020-06-14,WFMS,NO,4,3.96,,this is a mean date and value of 3 tests in June
2011-10-27,WFMS,NO2,11.1,,,
2012-06-15,WFMS,NO2,13.3,,,
2013-06-26,WFMS,NO2,,12.8,,
2014-01-16,WFMS,NO2,,11.2,,
2015-05-11,WFMS,NO2,,11.57,,
2016-06-17,WFMS,NO2,,11.29,,
2016-07-14,WFMS,NO2,,11.1,,
2016-11-03,WFMS,NO2,9.66,9.78,TRUE,
2017-01-20,WFMS,NO2,9.66,11.592,,these and following NO2 values are multiplied by 1.2 due to the perm tube releasing more NO2 than expected
2017-10-02,WFMS,NO2,9.66,11.652,,
2018-04-04,WFMS,NO2,9.66,11.676,,
2019-03-14,WFMS,NO2,9.66,11.772,,
2019-08-06,WFMS,NO2,9.78,11.868,TRUE,
2019-08-19,WFMS,NO2,9.72,11.832,TRUE,
2020-06-14,WFMS,NO2,9.72,11.556,,this is a mean date and value of 3 tests in June
2011-10-27,WFMS,CO,500,,,
2011-11-22,WFMS,CO,451,,TRUE,
2012-04-03,WFMS,CO,451,,,
2013-06-26,WFMS,CO,451,387,,
2014-01-16,WFMS,CO,451,389,,
2015-05-11,WFMS,CO,451,391,,
2016-06-17,WFMS,CO,451,363,,
2017-01-20,WFMS,CO,451,352,,
2017-02-28,WFMS,CO,452,468,TRUE,
2017-03-29,WFMS,CO,452,445,,
2017-10-02,WFMS,CO,452,434,,
2018-04-04,WFMS,CO,452,435,,
2019-03-14,WFMS,CO,452,438,,
2019-08-06,WFMS,CO,452,445,,
2019-08-19,WFMS,CO,453,440,TRUE,
2020-06-14,WFMS,CO,453,440,,this is a mean date and value of 3 tests in June
2011-10-27,WFMS,SO2,4.9,,,
2011-11-22,WFMS,SO2,4.9,,,
2012-04-03,WFMS,SO2,4.9,,,
2013-06-26,WFMS,SO2,4.9,5.9,,
2014-01-16,WFMS,SO2,4.9,4.58,,
2014-04-02,WFMS,SO2,5.9,5.93,TRUE,
2015-05-11,WFMS,SO2,5.9,5.98,,
2016-06-17,WFMS,SO2,5.9,5.98,,
2017-01-20,WFMS,SO2,5.9,6,,
2017-10-02,WFMS,SO2,5.9,5.94,,
2018-04-04,WFMS,SO2,5.9,6.01,,
2019-03-14,WFMS,SO2,5.9,6.04,,
2019-08-06,WFMS,SO2,5.9,6.11,,
2019-08-19,WFMS,SO2,5.9,6.08,,
2020-06-14,WFMS,SO2,5.9,6.12,,this is a mean date and value of 3 tests in June
