site,data_source,measurement_name,times,aqs_flag,explanation
WFMS,campbell,CO_Avg,"[2018-10-03 08:50, 2018-10-03 09:05)",AT,calibration
WFMS,campbell,CO_Avg,"[2018-10-09 06:26, 2018-10-09 06:32)",AT,calibration
WFMS,campbell,CO_Avg,"[2018-10-10 08:45, 2018-10-10 08:52)",AT,calibration
WFMS,campbell,NOy_Avg,"[2018-10-01 00:00, 2018-10-03 12:00)",AN,instrument malfunction
WFMS,campbell,NO_Avg,"[2018-12-05 10:13, 2018-12-05 11:28)",AT,manual calibration
WFMS,campbell,NOx_Avg,"[2018-12-05 10:13, 2018-12-05 11:28)",AT,manual calibration
WFMS,campbell,NOy_Avg,"[2018-12-05 10:13, 2018-12-05 11:28)",AT,manual calibration
WFMS,campbell,CO_Avg,"[2018-12-05 10:13, 2018-12-05 11:28)",AT,manual calibration
WFMS,campbell,SO2_Avg,"[2018-12-05 10:13, 2018-12-05 11:28)",AT,manual calibration
WFMS,campbell,CO_Avg,"[2018-10-15 06:00, 2018-10-21 00:00)",AC,elevator construction
WFMS,campbell,CO_Avg,"[2018-10-22 06:00, 2018-10-28 00:00)",AC,elevator construction
WFMS,campbell,CO_Avg,"[2018-10-29 06:00, 2018-11-03 15:00)",AC,elevator construction
WFMS,campbell,CO_Avg,"[2018-11-05 06:00, 2018-11-10 18:00)",AC,elevator construction
WFMS,campbell,CO_Avg,"[2018-11-12 06:00, 2018-11-13 18:00)",AC,elevator construction
WFMS,campbell,CO_Avg,"[2018-11-15 12:00, 2018-11-17 18:00)",AC,elevator construction
WFMS,campbell,CO_Avg,"[2018-11-20 09:00, 2018-11-22 21:00)",AC,elevator construction
WFMS,campbell,CO_Avg,"[2018-11-29 06:00, 2018-11-30 18:00)",AC,elevator construction
WFMS,campbell,NO_Avg,"[2018-10-15 06:00, 2018-10-21 00:00)",AC,elevator construction
WFMS,campbell,NO_Avg,"[2018-10-22 06:00, 2018-10-28 00:00)",AC,elevator construction
WFMS,campbell,NO_Avg,"[2018-10-29 06:00, 2018-11-03 15:00)",AC,elevator construction
WFMS,campbell,NO_Avg,"[2018-11-05 06:00, 2018-11-10 18:00)",AC,elevator construction
WFMS,campbell,NO_Avg,"[2018-11-12 06:00, 2018-11-13 18:00)",AC,elevator construction
WFMS,campbell,NO_Avg,"[2018-11-15 12:00, 2018-11-17 18:00)",AC,elevator construction
WFMS,campbell,NO_Avg,"[2018-11-20 09:00, 2018-11-22 21:00)",AC,elevator construction
