site,column,times,data_source,measurement,hourly_measurement,units
WFMS,NO,"[2018-10-01, 2020-12-01)",campbell,NO,,
WFMS,NO,"[2020-12-01, 2021-01-01)",envidas,NO,,
WFMS,NO2,"[2018-10-01, 2020-12-01)",campbell,NO2,,
WFMS,NO2,"[2020-12-01, 2021-01-01)",envidas,NO2,,
WFMS,NOy,"[2018-10-01, 2020-12-01)",campbell,NOy,,
WFMS,NOy,"[2020-12-01, 2021-01-01)",envidas,NOY,,
WFMS,Ozone,"[2018-10-01, 2020-06-23 11:04]",campbell,Ozone,,
WFMS,Ozone,"[2020-06-23 11:05, 2021-01-01)",DEC_envidas,O3_ppbv,,
WFMS,CO,"[2018-10-01, 2020-12-01)",campbell,CO,,
WFMS,CO,"[2020-12-01, 2021-01-01)",envidas,CO,,
WFMS,SO2,"[2018-10-01, 2020-12-01)",campbell,SO2,,
WFMS,SO2,"[2020-12-01, 2021-01-01)",envidas,SO2,,
WFMS,T,"[2018-10-01, 2021-01-01)",campbell,T,,
WFMS,RH,"[2018-10-01, 2021-01-01)",campbell,RH,,
WFMS,WS,"[2018-10-01, 2021-01-01)",campbell,WS,,
WFMS,WD,"[2018-10-01, 2021-01-01)",,,,degrees
WFMS,WD_V,"[2018-10-01, 2021-01-01)",campbell,WD,,
WFMS,WS_Max,"[2018-10-01, 2021-01-01)",campbell,WS_Max,,
WFMS,BP,"[2018-10-01, 2021-01-01)",campbell,BP,,
WFMS,SLP,"[2018-10-01, 2021-01-01)",campbell,SLP,,
WFMS,Ultrafine PM,"[2018-10-01, 2021-01-01)",ultrafine,Concentration,,
WFMS,BC1_370nm,"[2018-10-01, 2021-01-01)",aethelometer,concentration_370,,
WFMS,BC6_880nm,"[2018-10-01, 2021-01-01)",aethelometer,concentration_880,,
WFMS,Woodsmoke,"[2018-10-01, 2021-01-01)",aethelometer,Wood smoke,,
WFMB,NO,"[2018-10-01, 2021-01-01)",campbell,NO,,
WFMB,NO2,"[2018-10-01, 2021-01-01)",campbell,NO2,,
WFMB,Ozone,"[2018-10-01, 2021-01-01)",envidas,Ozone_ppbv,,
WFMB,CO,"[2018-10-01, 2021-01-01)",campbell,CO,,
WFMB,SO2,"[2018-10-01, 2021-01-01)",envidas,SO2,,
WFMB,CH4,"[2018-10-01, 2021-01-01)",,,,ppmv
WFMB,NMHC,"[2018-10-01, 2021-01-01)",,,,ppmv
WFMB,T,"[2018-10-01, 2021-01-01)",mesonet,temperature_2m [degC],,
WFMB,RH,"[2018-10-01, 2021-01-01)",mesonet,relative_humidity [%],,
WFMB,WS,"[2018-10-01, 2021-01-01)",,,,m/s
WFMB,WS_MESO,"[2018-10-01, 2021-01-01)",mesonet,wind_speed [m/s],,
WFMB,WS_MAX_MESO,"[2018-10-01, 2021-01-01)",mesonet,wind_maximum [m/s],,
WFMB,WD,"[2018-10-01, 2021-01-01)",,,,degrees
WFMB,WD_V,"[2018-10-01, 2021-01-01)",,,,degrees
WFMB,WD_MESO,"[2018-10-01, 2021-01-01)",mesonet,wind_direction [degrees],,
WFMB,BP,"[2018-10-01, 2021-01-01)",campbell,BP2,,
WFMB,SLP,"[2018-10-01, 2021-01-01)",campbell,SLP,,
WFMB,PM25,"[2018-10-01, 2021-01-01)",envidas,PM25C,,
