site,name,brand,model,serial_number,owner
PSP,Thermo_49,Thermo,49,,
PSP,Thermo_49i_1,Thermo,49i,,
PSP,Thermo_49C,Thermo,49C,64186,
PSP,Thermo_49i_2,Thermo,49i,0617916613,
PSP,Teledyne_T400_1,Teledyne,T400,1977,
PSP,Teledyne_T400_2,Teledyne,T400,1981,
PSP,Teledyne_T400_3,Teledyne,T400,1931,
PSP,Teledyne_T400_4,Teledyne,T400,1980,
PSP,Teledyne_T400_5,Teledyne,T400,1969,
PSP,Teledyne_300EU_1,Teledyne,300EU,188,
PSP,Thermo_48i,Thermo,48i,198519,
PSP,Teledyne_300EU_2,Teledyne,300EU,132,
PSP,Thermo_43BS,Thermo,43BS,,
PSP,Thermo_43C,Thermo,43C,,
PSP,Thermo_43i,Thermo,43i,0617916895,
PSP,Thermo_42S_NOx,Thermo,42S,,
PSP,Thermo_42C-TL,Thermo,42C-TL,63346-339,
PSP,Thermo_42S_NOy,Thermo,42S,,ASRC
PSP,Thermo_42i-TL,Thermo,42i-TL,1315758123,ASRC
PSP,DEC_Teledyne_200EU,Teledyne,200EU,188,DEC
PSP,DEC_Thermo_42i_1,Thermo,42i,1152670025,DEC
PSP,DEC_Thermo_42i_2,Thermo,42i,1152670023,DEC
PSP,DEC_Thermo_TEOM1405-DF,Thermo,TEOM 1405-DF,,DEC
PSP,DEC_Teledyne_T640,Teledyne,T640,,DEC
PSP,Teledyne_M651,Teledyne,M651,,
PSP,TSI_EPC3783,TSI,EPC 3783,3783120702,
