site,data_source,name,units,derived,report_decimals,apply_processing,valid_range,mdl,span,has_calibration,zero_smooth_window,span_smooth_window,remove_outliers,spike_window,spike_log_transform,max_jump,apply_ce,max_ce,ce_smooth_window,gilibrator_span,gilibrator_ce
WFMS,campbell,NO,ppbv,,3,TRUE,,0.03,3.79,TRUE,11,5,TRUE,181,,,,,,NO,
WFMS,campbell,NOx,ppbv,,3,TRUE,,,3.79,TRUE,11,5,TRUE,181,,,,12.57,,NO,NO2
WFMS,campbell,NO2,ppbv,TRUE,3,TRUE,,,,,,,,,,,TRUE,12.57,31,,
WFMS,campbell,NOy,ppbv,,3,TRUE,,,3.79,TRUE,11,5,TRUE,181,,,TRUE,12.57,31,NO,NO2
WFMS,campbell,Ozone,ppbv,,1,TRUE,,,,,,,TRUE,241,,,,,,,
WFMS,campbell,CO,ppbv,,0,TRUE,,,434.9,TRUE,11,5,TRUE,241,,,,,,CO,
WFMS,campbell,SO2,ppbv,,3,TRUE,,,6.01,TRUE,11,5,TRUE,241,,,,,,SO2,
WFMS,campbell,T,degrees C,,2,TRUE,"[-40, 35]",,,,,,TRUE,241,,,,,,,
WFMS,campbell,RH,%,,1,TRUE,"[0, 101]",,,,,,TRUE,241,,,,,,,
WFMS,campbell,WS3Cup,m/s,,2,TRUE,"[0, 65]",,,,,,,,,,,,,,
WFMS,campbell,WS3Cup_Max,m/s,,2,TRUE,"[0, 65]",,,,,,,,,,,,,,
WFMS,campbell,WS3CupB,m/s,,2,TRUE,"[0, 65]",,,,,,,,,,,,,,
WFMS,campbell,WS3CupB_Max,m/s,,2,TRUE,"[0, 65]",,,,,,,,,,,,,,
WFMS,campbell,WindDir_D1_WVT,degrees,,1,TRUE,,,,,,,,,,,,,,,
WFMS,campbell,BP,mbar,,1,TRUE,"[780,)",,,,,,TRUE,241,,2,,,,,
WFMS,campbell,PTemp_C,degrees C,,,TRUE,,,,,,,,,,,,,,,
WFMS,ultrafine,Concentration,particles/cm3,,0,TRUE,,,,,,,TRUE,121,TRUE,,,,,,
WFMS,aethelometer,concentration_370,ng/m3,,1,TRUE,,0,,,,,,,,,,,,,
WFMS,aethelometer,concentration_880,ng/m3,,1,TRUE,,,,,,,,,,,,,,,
WFMS,aethelometer,Wood smoke,ng/m3,TRUE,1,TRUE,"[-15,)",0,,,,,,,,,,,,,
WFMS,campbell,SLP,mbar,TRUE,1,TRUE,,,,,,,,,,,,,,,
WFMS,campbell,WS,m/s,TRUE,2,TRUE,,,,,,,,,,,,,,,
WFMS,campbell,WS_Max,m/s,TRUE,2,TRUE,,,,,,,,,,,,,,,
WFML,campbell,NO,ppbv,,3,TRUE,,0.03,14,TRUE,9,5,TRUE,241,,,,,,,
WFML,campbell,NO2,ppbv,TRUE,3,TRUE,,0.03,,,,,,,,,,,,,
WFML,campbell,NOX,ppbv,,3,TRUE,,,14,TRUE,9,5,TRUE,241,,,,,,,
WFML,envidas,API-T400-OZONE,ppbv,,1,TRUE,,,,,,,TRUE,241,,,,,,,
WFML,envidas,Ozone_ppbv,ppbv,TRUE,1,TRUE,"[0, 125]",5,,,,,TRUE,241,,,,,,,
WFML,campbell,CO,ppbv,,0,TRUE,,10,450,TRUE,9,5,TRUE,241,,,,,,,
WFML,envidas,SO2,ppbv,,3,TRUE,"[-0.9, 5]",0.03,,,,,TRUE,241,,,,,,,
WFML,campbell,BP2,mbar,,1,TRUE,"[850, 1000]",,,,,,,,,3,,,,,
WFML,campbell,PTemp_C,degrees C,,,TRUE,,,,,,,,,,,,,,,
WFML,mesonet,temperature_2m [degC],degrees C,,2,TRUE,"[-38, 35]",,,,,,TRUE,49,,,,,,,
WFML,mesonet,relative_humidity [%],%,,1,TRUE,"[1, 102]",,,,,,TRUE,49,,,,,,,
WFML,campbell,NGN3,M/m,,1,TRUE,"[-0.1,)",,,,,,TRUE,241,,,,,,,
WFML,envidas,BLK-CARBON-1,ug/m3,,1,TRUE,"[-1,2]",,,,,,,,,1,,,,,
WFML,mesonet,wind_speed [m/s],m/s,,2,TRUE,"[0, 8]",,,,,,,,,,,,,,
WFML,mesonet,wind_direction [degrees],degrees,,1,TRUE,,,,,,,,,,,,,,,
WFML,mesonet,wind_maximum [m/s],m/s,,2,TRUE,,,,,,,,,,,,,,,
WFML,envidas,PM25C,ug/m3,,2,TRUE,"[-10,)",,,,,,TRUE,241,,,,,,,
WFML,mesonet,precip_since_00Z [mm],mm since 00Z,,2,TRUE,,,,,,,,,,,,,,,
WFML,campbell,SLP,mbar,TRUE,1,TRUE,,,,,,,,,,,,,,,
PSP,envidas,NO,ppbv,,3,TRUE,,0.03,,TRUE,7,7,TRUE,241,,,,,,,
PSP,envidas,NO-DEC,ppbv,,3,TRUE,,0.03,,TRUE,5,5,TRUE,241,,,,,,,
PSP,envidas,NOx,ppbv,,3,TRUE,,0.03,,TRUE,7,7,TRUE,241,,,,,,,
PSP,envidas,NO2,ppbv,TRUE,3,TRUE,,0.03,,,,,TRUE,241,,,TRUE,,5,,
PSP,envidas,NOy,ppbv,,3,TRUE,,0.03,,TRUE,5,5,TRUE,151,,,TRUE,,5,,
PSP,envidas,NOy-DEC,ppbv,,3,TRUE,,0.03,,TRUE,5,5,TRUE,241,,,TRUE,,5,,
PSP,envidas,NOy-HNO3,ppbv,,3,TRUE,,-0.1,,TRUE,5,5,TRUE,241,,,TRUE,,5,,
PSP,envidas,HNO3,ppbv,TRUE,3,TRUE,,-0.1,,,,,TRUE,241,,,,,,,
PSP,envidas,Thermo_O3,ppbv,,1,TRUE,,5,,TRUE,5,5,TRUE,241,,,,,,,
PSP,envidas,CO,ppbv,,0,TRUE,,10,,TRUE,5,5,TRUE,241,,,,,,,
PSP,envidas,SO2,ppbv,,3,TRUE,,0.03,,TRUE,5,5,TRUE,241,,,,,,,
PSP,envidas,AmbTemp,degrees C,,2,TRUE,,,,,,,TRUE,241,,,,,,,
PSP,envidas,AmbRH,%,,1,TRUE,,,,,,,TRUE,241,,,,,,,
PSP,envidas,Rain,inches,,,TRUE,,,,,,,,,,,,,,,
PSP,envidas,Precip,mm,TRUE,2,TRUE,"[-0.508,2.032]",,,,,,,,,,,,,,
PSP,envidas,SR,W/m2,,1,TRUE,,,,,,,,,,,,,,,
PSP,envidas,SR2,W/m2,TRUE,1,TRUE,"[0,)",,,,,,,,,,,,,,
PSP,envidas,BP,mbar,,1,TRUE,,,,,,,TRUE,241,,,,,,,
PSP,envidas,VWS,m/s,,2,TRUE,,,,,,,,,,,,,,,
PSP,envidas,VWD,degrees,,1,TRUE,,,,,,,,,,,,,,,
PSP,envidas,TEOMA(2.5)MC,ug/m3,,2,TRUE,"[-10,)",,,,,,TRUE,241,,,,,,,
PSP,envidas,TEOMA(2.5)RefMC,ug/m3,,2,TRUE,"[-8,4]",,,,,,TRUE,241,,,,,,,
PSP,envidas,TEOMA(2.5)BaseMC,ug/m3,TRUE,2,TRUE,,,,,,,,,,,,,,,
PSP,envidas,TEOMB(crs)MC,ug/m3,,2,TRUE,"[-2.5,)",,,,,,TRUE,241,,,,,,,
PSP,envidas,TEOMB(crs)RefMC,ug/m3,,2,TRUE,"[-4,1]",,,,,,TRUE,241,,,,,,,
PSP,envidas,TEOMB(crs)BaseMC,ug/m3,TRUE,2,TRUE,,,,,,,,,,,,,,,
PSP,envidas,Dichot(10)MC,ug/m3,,2,TRUE,,,,,,,TRUE,241,,,,,,,
PSP,envidas,Dichot(10)RefMC,ug/m3,,2,TRUE,,,,,,,TRUE,241,,,,,,,
PSP,envidas,Dichot(10)BaseMC,ug/m3,TRUE,2,TRUE,,,,,,,,,,,,,,,
PSP,envidas,PM_2_5,ug/m3,,2,TRUE,,,,,,,,,,,,,,,
PSP,envidas,NGN3a-BScatt,M/m,,1,TRUE,,,,,,,TRUE,241,,,,,,,
PSP,envidas,BC1,ng/m3,,1,TRUE,,5,,,,,,,,,,,,,
PSP,envidas,BC6,ng/m3,,1,TRUE,,5,,,,,,,,,,,,,
PSP,envidas,Concentration,particles/cm3,,0,TRUE,,,,,,,,,,,,,,,
PSP,envidas,Wood smoke,ng/m3,TRUE,1,TRUE,,7,,,,,,,,,,,,,
PSP,envidas,SLP,mbar,TRUE,1,TRUE,,,,,,,,,,,,,,,
PSP,mesonet,wind_speed [m/s],m/s,,2,TRUE,"[0, 8]",,,,,,,,,,,,,,
PSP,mesonet,wind_direction [degrees],degrees,,1,TRUE,,,,,,,,,,,,,,,
PSP,mesonet,wind_maximum [m/s],m/s,,2,TRUE,,,,,,,,,,,,,,,
