site,data_source,measurement_name,type,dates,times,value
WFMS,campbell,NO,zero,"[2018-01-01,)","[0:00,0:15)",
WFMS,campbell,NO,span,"[2018-01-01,)","[0:15,0:45)",4
WFMS,campbell,NO,zero check,"[2018-01-01,)","[0:45,1:05)",
WFMS,campbell,NO,zero,"[2018-01-01,)","[6:00,6:20)",
WFMS,campbell,NO,zero,"[2018-01-01,)","[12:00,13:05)",
WFMS,campbell,NO,zero,"[2018-01-01,)","[18:00,18:20)",
WFMS,campbell,NOx,zero,"[2018-01-01,)","[0:00,0:15)",
WFMS,campbell,NOx,span,"[2018-01-01,)","[0:15,0:45)",4
WFMS,campbell,NOx,zero check,"[2018-01-01,)","[0:45,1:05)",
WFMS,campbell,NOx,zero,"[2018-01-01,)","[6:00,6:20)",
WFMS,campbell,NOx,zero,"[2018-01-01,)","[12:00,12:15)",
WFMS,campbell,NOx,CE,"[2018-01-01,)","[12:15,13:05)",
WFMS,campbell,NOx,zero,"[2018-01-01,)","[18:00,18:20)",
WFMS,campbell,NOy,zero,"[2018-01-01,)","[0:00,0:15)",
WFMS,campbell,NOy,span,"[2018-01-01,)","[0:15,0:45)",4
WFMS,campbell,NOy,zero check,"[2018-01-01,)","[0:45,1:05)",
WFMS,campbell,NOy,zero,"[2018-01-01,)","[6:00,6:20)",
WFMS,campbell,NOy,zero,"[2018-01-01,)","[12:00,12:15)",
WFMS,campbell,NOy,CE,"[2018-01-01,)","[12:15,13:05)",
WFMS,campbell,NOy,zero,"[2018-01-01,)","[18:00,18:20)",
WFMS,campbell,SO2,zero,"[2018-01-01,)","[0:00,0:15)",
WFMS,campbell,SO2,span,"[2018-01-01,)","[0:15,0:45)",5.9
WFMS,campbell,SO2,zero check,"[2018-01-01,)","[0:45,1:10)",
WFMS,campbell,SO2,zero,"[2018-01-01,)","[6:00,6:24)",
WFMS,campbell,SO2,zero,"[2018-01-01,)","[12:00,12:24)",
WFMS,campbell,SO2,zero,"[2018-01-01,)","[18:00,18:25)",
WFMS,campbell,CO,zero,"[2018-01-01,)","[0:00,0:20)",
WFMS,campbell,CO,span,"[2018-01-01,)","[0:20,0:45)",451
WFMS,campbell,CO,zero check,"[2018-01-01,)","[0:45,1:10)",
WFMS,campbell,CO,zero,"[2018-01-01,)","[6:00,6:24)",
WFMS,campbell,CO,zero,"[2018-01-01,)","[12:00,12:35)",
WFMS,campbell,CO,zero,"[2018-01-01,)","[18:00,18:25)",
WFML,campbell,NO,zero,"[2018-01-01,)","[11:00,11:30)",
WFML,campbell,NO,span,"[2018-01-01,)","[11:30,12:00)",14
WFML,campbell,NOX,zero,"[2018-01-01,)","[11:00,11:30)",
WFML,campbell,NOX,span,"[2018-01-01,)","[11:30,12:05)",14
WFML,campbell,CO,zero,"[2018-01-01,)","[10:00,10:30)",
WFML,campbell,CO,span,"[2018-01-01,)","[10:30,11:05)",450
