site,data_source,measurement,times,aqs_flag,explanation
WFMS,campbell,NO,"[2018-12-05 10:13, 2018-12-05 11:28)",AT,manual calibration
WFMS,campbell,NOx,"[2018-12-05 10:13, 2018-12-05 11:28)",AT,manual calibration
WFMS,campbell,NOy,"[2018-12-05 10:13, 2018-12-05 11:28)",AT,manual calibration
WFMS,campbell,CO,"[2018-12-05 10:13, 2018-12-05 11:28)",AT,manual calibration
WFMS,campbell,SO2,"[2018-12-05 10:13, 2018-12-05 11:28)",AT,manual calibration
WFMS,campbell,CO,"[2018-10-15 00:00, 2018-10-19 00:00)",AC,elevator construction
WFMS,campbell,CO,"[2018-10-22 00:00, 2018-10-27 00:00)",AC,elevator construction
WFMS,campbell,CO,"[2018-10-29 00:00, 2018-11-03 00:00)",AC,elevator construction
WFMS,campbell,CO,"[2018-11-05 00:00, 2018-11-11 00:00)",AC,elevator construction
WFMS,campbell,CO,"[2018-11-12 00:00, 2018-11-18 00:00)",AC,elevator construction
WFMS,campbell,CO,"[2018-11-20 00:00, 2018-11-23 00:00)",AC,elevator construction
WFMS,campbell,CO,"[2018-11-29 00:00, 2018-12-01 00:00)",AC,elevator construction
WFMS,campbell,NO,"[2018-10-15 00:00, 2018-10-19 00:00)",AC,elevator construction
WFMS,campbell,NO,"[2018-10-22 00:00, 2018-10-27 00:00)",AC,elevator construction
WFMS,campbell,NO,"[2018-10-29 00:00, 2018-11-03 00:00)",AC,elevator construction
WFMS,campbell,NO,"[2018-11-05 00:00, 2018-11-11 00:00)",AC,elevator construction
WFMS,campbell,NO,"[2018-11-12 00:00, 2018-11-18 00:00)",AC,elevator construction
WFMS,campbell,NO,"[2018-11-20 00:00, 2018-11-23 00:00)",AC,elevator construction
WFMS,campbell,NO,"[2018-11-29 00:00, 2018-12-01 00:00)",AC,elevator construction
WFMS,campbell,NOx,"[2018-10-15 00:00, 2018-10-19 00:00)",AC,elevator construction
WFMS,campbell,NOx,"[2018-10-22 00:00, 2018-10-27 00:00)",AC,elevator construction
WFMS,campbell,NOx,"[2018-10-29 00:00, 2018-11-03 00:00)",AC,elevator construction
WFMS,campbell,NOx,"[2018-11-05 00:00, 2018-11-11 00:00)",AC,elevator construction
WFMS,campbell,NOx,"[2018-11-12 00:00, 2018-11-18 00:00)",AC,elevator construction
WFMS,campbell,NOx,"[2018-11-20 00:00, 2018-11-23 00:00)",AC,elevator construction
WFMS,campbell,NOx,"[2018-11-29 00:00, 2018-12-01 00:00)",AC,elevator construction
WFMS,campbell,NOy,"[2018-10-15 00:00, 2018-10-19 00:00)",AC,elevator construction
WFMS,campbell,NOy,"[2018-10-22 00:00, 2018-10-27 00:00)",AC,elevator construction
WFMS,campbell,NOy,"[2018-10-29 00:00, 2018-11-03 00:00)",AC,elevator construction
WFMS,campbell,NOy,"[2018-11-05 00:00, 2018-11-11 00:00)",AC,elevator construction
WFMS,campbell,NOy,"[2018-11-12 00:00, 2018-11-18 00:00)",AC,elevator construction
WFMS,campbell,NOy,"[2018-11-20 00:00, 2018-11-23 00:00)",AC,elevator construction
WFMS,campbell,NOy,"[2018-11-29 00:00, 2018-12-01 00:00)",AC,elevator construction
WFMS,campbell,SO2,"[2018-10-15 00:00, 2018-10-19 00:00)",AC,elevator construction
WFMS,campbell,SO2,"[2018-10-22 00:00, 2018-10-27 00:00)",AC,elevator construction
WFMS,campbell,SO2,"[2018-10-29 00:00, 2018-11-03 00:00)",AC,elevator construction
WFMS,campbell,SO2,"[2018-11-05 00:00, 2018-11-11 00:00)",AC,elevator construction
WFMS,campbell,SO2,"[2018-11-12 00:00, 2018-11-18 00:00)",AC,elevator construction
WFMS,campbell,SO2,"[2018-11-20 00:00, 2018-11-23 00:00)",AC,elevator construction
WFMS,campbell,SO2,"[2018-11-29 00:00, 2018-12-01 00:00)",AC,elevator construction
WFMS,campbell,Ozone,"[2018-10-15 21:30, 2018-10-15 23:45)",AT,manual calibration
WFMS,campbell,NOy,"[2018-09-27 13:00, 2018-10-03 10:00)",AN,unknown error
