site,data_source,name,units,report_decimals,apply_processing,valid_range,mdl,span,has_calibration,remove_outliers,max_jump,apply_ce,max_ce
WFMS,campbell,NO,ppbv,3,TRUE,,0.03,3.79,TRUE,TRUE,,,
WFMS,campbell,NOx,ppbv,3,TRUE,,,3.79,TRUE,TRUE,,,12.57
WFMS,derived,NO2,ppbv,3,TRUE,,,,,,,TRUE,12.57
WFMS,campbell,NOy,ppbv,3,TRUE,,,3.79,TRUE,TRUE,,TRUE,12.57
WFMS,campbell,Ozone,ppbv,1,TRUE,,,,,TRUE,,,
WFMS,campbell,CO,ppbv,0,TRUE,,,434.9,TRUE,TRUE,,,
WFMS,campbell,SO2,ppbv,3,TRUE,,,6.01,TRUE,TRUE,,,
WFMS,campbell,T,°C,2,TRUE,"[-40, 35]",,,,TRUE,,,
WFMS,campbell,RH,%,1,TRUE,"[0, 101]",,,,TRUE,,,
WFMS,campbell,WS3Cup,m/s,2,TRUE,"[0, 65]",,,,,,,
WFMS,campbell,WS3Cup_Max,m/s,2,TRUE,"[0, 65]",,,,,,,
WFMS,campbell,WS3CupB,m/s,2,TRUE,"[0, 65]",,,,,,,
WFMS,campbell,WS3CupB_Max,m/s,2,TRUE,"[0, 65]",,,,,,,
WFMS,campbell,WindDir_D1_WVT,degrees,1,TRUE,,,,,,,,
WFMS,campbell,BP,mbar,1,TRUE,"[780,)",,,,TRUE,2,,
WFMS,campbell,PTemp_C,°C,,TRUE,,,,,,,,
WFMS,ultrafine,Concentration,particles/cm3,0,TRUE,,,,,,,,
WFMS,aethelometer,concentration_370,ng/m3,1,TRUE,,0,,,,,,
WFMS,aethelometer,concentration_880,ng/m3,1,TRUE,,,,,,,,
WFMS,derived,Wood smoke,ng/m3,1,TRUE,,0,,,,,,
WFMS,derived,SLP,mbar,1,TRUE,,,,,,,,
WFMS,derived,WS,m/s,2,TRUE,,,,,,,,
WFMS,derived,WS_Max,m/s,2,TRUE,,,,,,,,
WFMS,derived,WS_u,m/s,2,TRUE,,,,,,,,
WFMS,derived,WS_v,m/s,2,TRUE,,,,,,,,
WFML,campbell,NO,ppbv,3,TRUE,,0.03,14,TRUE,TRUE,,,
WFML,campbell,NO2,ppbv,3,TRUE,,0.03,,,,,,
WFML,campbell,NOX,ppbv,3,TRUE,,,14,TRUE,TRUE,,,
WFML,envidas,API-T400-OZONE,ppbv,1,TRUE,"[0, 125]",5,,,TRUE,,,
WFML,campbell,CO,ppbv,0,TRUE,,10,450,TRUE,TRUE,,,
WFML,envidas,SO2,ppbv,3,TRUE,"[-0.9, 5]",0.03,,,TRUE,,,
WFML,campbell,BP2,mbar,1,TRUE,"[850, 1000]",,,,TRUE,,,
WFML,mesonet,temperature_2m [degC],°C,2,TRUE,"[-38, 35]",,,,TRUE,,,
WFML,mesonet,relative_humidity [%],%,1,TRUE,"[1, 102]",,,,TRUE,,,
WFML,campbell,NGN3,Mm-1,1,TRUE,"[-0.05,)",,,,TRUE,,,
WFML,envidas,BLK-CARBON-1,ug/m3,1,TRUE,"[-1,)",,,,TRUE,,,
WFML,mesonet,wind_speed [m/s],m/s,2,TRUE,"[0, 8]",,,,,,,
WFML,mesonet,wind_direction [degrees],degrees,1,TRUE,,,,,,,,
WFML,mesonet,wind_maximum [m/s],m/s,2,TRUE,"[0, 8]",,,,,,,
WFML,campbell,PM25,ug/m3,2,TRUE,,,,,,,,
WFML,mesonet,precip_since_00Z [mm],mm,2,TRUE,,,,,,,,
WFML,derived,SLP,mbar,1,TRUE,,,,,,,,
WFMS,derived,WS_hourly,m/s,2,TRUE,"[0, 65]",,,,,,,
WFMS,derived,WD_hourly,degrees,1,TRUE,,,,,,,,
PSP,envidas,NO,ppbv,3,TRUE,,0.03,,TRUE,TRUE,,,
PSP,envidas,NO-DEC,ppbv,3,TRUE,,0.03,,TRUE,TRUE,,,
PSP,envidas,NOx,ppbv,3,TRUE,,0.03,,TRUE,TRUE,,,
PSP,derived,NO2,ppbv,3,TRUE,,0.03,,,TRUE,,TRUE,
PSP,envidas,NOy,ppbv,3,TRUE,,0.03,,TRUE,TRUE,,TRUE,
PSP,envidas,NOy-DEC,ppbv,3,TRUE,,0.03,,TRUE,TRUE,,TRUE,
PSP,envidas,NOy-HNO3,ppbv,3,TRUE,,-0.1,,TRUE,TRUE,,TRUE,
PSP,derived,HNO3,ppbv,3,TRUE,,-0.1,,,TRUE,,,
PSP,envidas,Thermo_O3,ppbv,1,TRUE,,5,,TRUE,TRUE,,,
PSP,envidas,CO,ppbv,0,TRUE,,10,,TRUE,TRUE,,,
PSP,envidas,SO2,ppbv,3,TRUE,,0.03,,TRUE,TRUE,,,
PSP,envidas,AmbTemp,°C,2,TRUE,,,,,TRUE,,,
PSP,envidas,AmbRH,%,1,TRUE,,,,,TRUE,,,
PSP,envidas,Rain,inches,,TRUE,,,,,,,,
PSP,derived,Precip,mm,2,TRUE,"[-0.508,2.032]",,,,,,,
PSP,envidas,SR,W/m2,1,TRUE,,,,,,,,
PSP,derived,SR2,W/m2,1,TRUE,"[0,)",,,,,,,
PSP,envidas,BP,mbar,1,TRUE,,,,,TRUE,,,
PSP,envidas,VWS,m/s,2,TRUE,,,,,,,,
PSP,envidas,VWD,degrees,1,TRUE,,,,,,,,
PSP,envidas,TEOMA(2.5)MC,ug/m3,2,TRUE,"[-10,)",,,,TRUE,,,
PSP,envidas,TEOMA(2.5)RefMC,ug/m3,2,TRUE,"[-8,4]",,,,TRUE,,,
PSP,derived,TEOMA(2.5)BaseMC,ug/m3,2,TRUE,,,,,,,,
PSP,envidas,TEOMB(crs)MC,ug/m3,2,TRUE,"[-2.5,)",,,,TRUE,,,
PSP,envidas,TEOMB(crs)RefMC,ug/m3,2,TRUE,"[-4,1]",,,,TRUE,,,
PSP,derived,TEOMB(crs)BaseMC,ug/m3,2,TRUE,,,,,,,,
PSP,envidas,Dichot(10)MC,ug/m3,2,TRUE,,,,,TRUE,,,
PSP,envidas,Dichot(10)RefMC,ug/m3,2,TRUE,,,,,TRUE,,,
PSP,derived,Dichot(10)BaseMC,ug/m3,2,TRUE,,,,,,,,
PSP,envidas,NGN3a-BScatt,Mm-1,1,TRUE,,,,,TRUE,,,
PSP,envidas,BC1,ng/m3,1,TRUE,,,,,,,,
PSP,envidas,BC6,ng/m3,1,TRUE,,,,,,,,
PSP,envidas,Concentration,particles/cm3,0,TRUE,,,,,,,,
PSP,derived,Wood smoke,ng/m3,1,TRUE,,,,,,,,
PSP,derived,WS_u,m/s,2,TRUE,,,,,,,,
PSP,derived,WS_v,degrees,2,TRUE,,,,,,,,
PSP,derived,SLP,mbar,1,TRUE,,,,,,,,
PSP,derived,WS_hourly,m/s,2,TRUE,"[0, 65]",,,,,,,
PSP,derived,WD_hourly,degrees,1,TRUE,,,,,,,,
