site,measurement,times,aqs_flag,explanation
WFMS,NO,"[2018-10-31 08:38, 2018-10-31 10:30)",AT,manual calibration
WFMS,NOx,"[2018-10-31 08:38, 2018-10-31 10:30)",AT,manual calibration
WFMS,NOy,"[2018-10-31 08:38, 2018-10-31 10:30)",AT,manual calibration
WFMS,SO2,"[2018-10-31 08:38, 2018-10-31 10:30)",AT,manual calibration
WFMS,NO,"[2018-12-05 10:13, 2018-12-05 11:28)",AT,manual calibration
WFMS,NOx,"[2018-12-05 10:13, 2018-12-05 11:28)",AT,manual calibration
WFMS,NOy,"[2018-12-05 10:13, 2018-12-05 11:28)",AT,manual calibration
WFMS,CO,"[2018-12-05 10:13, 2018-12-05 11:28)",AT,manual calibration
WFMS,SO2,"[2018-12-05 10:13, 2018-12-05 11:28)",AT,manual calibration
WFMS,CO,"[2018-10-15 00:00, 2018-10-19 00:00)",AC,elevator construction
WFMS,CO,"[2018-10-22 00:00, 2018-10-27 00:00)",AC,elevator construction
WFMS,CO,"[2018-10-29 00:00, 2018-11-03 00:00)",AC,elevator construction
WFMS,CO,"[2018-11-05 00:00, 2018-11-11 00:00)",AC,elevator construction
WFMS,CO,"[2018-11-12 00:00, 2018-11-18 00:00)",AC,elevator construction
WFMS,CO,"[2018-11-20 00:00, 2018-11-23 00:00)",AC,elevator construction
WFMS,CO,"[2018-11-29 00:00, 2018-12-01 00:00)",AC,elevator construction
WFMS,Ozone,"[2018-10-15 21:30, 2018-10-15 23:45)",AT,manual calibration
WFMS,WS3Cup,"[2018-10-25 06:00, 2018-10-25 09:00)",AN,frozen
WFMS,WS3Cup,"[2018-10-25 19:30, 2018-10-26 05:15)",AN,frozen
WFMS,WS3Cup,"[2018-10-26 17:30, 2018-10-26 19:00)",AN,frozen
WFMS,WS3Cup,"[2018-10-27 21:00, 2018-10-28 05:15)",AN,frozen
WFMS,WS3Cup,"[2018-10-29 16:00, 2018-10-29 17:00)",AN,frozen
WFMS,WS3Cup,"[2018-10-30 04:15, 2018-10-30 16:00)",AN,frozen
WFMS,WS3Cup,"[2018-11-03 12:00, 2018-11-03 17:15)",AN,frozen
WFMS,WS3Cup,"[2018-11-13 21:00, 2018-11-14 10:15)",AN,frozen
WFMS,WS3Cup,"[2018-11-26 21:30, 2018-11-28 08:00)",AN,frozen
WFMS,WS3Cup,"[2018-11-29 18:45, 2018-11-30 12:00)",AN,frozen
WFMS,WS3Cup,"[2018-12-03 20:00, 2018-12-05 10:45)",AN,frozen
WFMS,WS3Cup,"[2018-12-08 00:00, 2018-12-08 07:15)",AN,frozen
WFMS,WS3Cup,"[2018-12-17 17:00, 2018-12-17 20:45)",AN,frozen
WFMS,WS3Cup,"[2018-12-18 01:30, 2018-12-18 23:00)",AN,frozen
WFMS,WS3Cup,"[2018-12-22 10:45, 2018-12-23 04:15)",AN,frozen
WFMS,WS3Cup,"[2018-12-26 22:15, 2018-12-27 04:45)",AN,frozen
WFMS,WS3Cup,"[2018-12-29 10:45, 2018-12-30 18:00)",AN,frozen
